,horizonte,rodal_id,Zona,SiteIndex,Especie,Edad,Manejo,Biomasa
395,35,rodal_9,6,29,Pinus,43,Intensivo2,0.0
396,36,rodal_9,6,29,Pinus,44,Intensivo2,0.0
397,37,rodal_9,6,29,Pinus,45,Intensivo2,0.0
398,38,rodal_9,6,29,Pinus,46,Intensivo2,0.0
399,39,rodal_9,6,29,Pinus,47,Intensivo2,0.0
400,0,rodal_10,6,26,Pinus,11,Multipropósito,120.56135157701192
401,1,rodal_10,6,26,Pinus,12,Multipropósito,278.3085816922935
402,2,rodal_10,6,26,Pinus,13,Multipropósito,432.1687239687062
403,3,rodal_10,6,26,Pinus,14,Multipropósito,582.5265379859366
404,4,rodal_10,6,26,Pinus,15,Multipropósito,729.704107535727
405,5,rodal_10,6,26,Pinus,16,Multipropósito,873.9745302532356
406,6,rodal_10,6,26,Pinus,17,Multipropósito,1015.5719507668473
407,7,rodal_10,6,26,Pinus,18,Multipropósito,1154.6990713140872
